spatial id,temporal id,Target (normal),Normal target,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
5,138,0.0,0.0,0,1,0,1,0
6,138,1.0,1.0,1,1,1,1,1
1,139,1.0,1.0,1,1,0,1,1
2,139,1.0,1.0,1,1,1,1,1
5,139,0.0,0.0,1,0,1,0,0
6,139,1.0,1.0,1,1,1,1,1
1,140,0.0,0.0,1,0,1,1,0
2,140,1.0,1.0,1,1,1,1,0
5,140,1.0,1.0,0,1,0,0,0
6,140,1.0,1.0,1,1,1,1,1
1,141,1.0,1.0,0,1,1,0,1
2,141,1.0,1.0,1,1,1,0,1
5,141,1.0,1.0,1,0,0,0,0
6,141,1.0,1.0,1,1,1,1,1
1,142,0.0,0.0,1,1,0,1,0
2,142,1.0,1.0,1,1,0,1,1
5,142,0.0,0.0,0,0,0,0,1
6,142,1.0,1.0,1,1,1,1,1
1,143,1.0,1.0,1,0,1,0,1
2,143,1.0,1.0,1,0,1,1,1
5,143,0.0,0.0,0,0,0,1,1
6,143,1.0,1.0,1,1,1,1,1
1,144,1.0,1.0,0,1,0,1,0
2,144,1.0,1.0,0,1,1,1,1
5,144,1.0,1.0,0,0,1,1,0
6,144,0.0,0.0,1,1,1,1,1
1,145,0.0,0.0,1,0,1,0,1
2,145,1.0,1.0,1,1,1,1,1
5,145,0.0,0.0,0,1,1,0,0
6,145,1.0,1.0,1,1,1,1,1
1,146,1.0,1.0,0,1,0,1,1
2,146,1.0,1.0,1,1,1,1,1
5,146,0.0,0.0,1,1,0,0,1
6,146,1.0,1.0,1,1,1,1,0
1,147,0.0,0.0,1,0,1,1,0
2,147,0.0,0.0,1,1,1,1,1
5,147,0.0,0.0,1,0,0,1,0
6,147,0.0,0.0,1,1,1,0,1
1,148,1.0,1.0,0,1,1,0,1
2,148,1.0,1.0,1,1,1,1,1
5,148,1.0,1.0,0,0,1,0,0
6,148,1.0,1.0,1,1,0,1,1
1,149,1.0,1.0,1,1,0,1,0
2,149,1.0,1.0,1,1,1,1,0
5,149,0.0,0.0,0,1,0,0,0
6,149,1.0,1.0,1,0,1,1,0
1,150,1.0,1.0,1,0,1,0,1
2,150,1.0,1.0,1,1,1,0,1
5,150,1.0,1.0,1,0,0,0,1
6,150,1.0,1.0,0,1,1,0,1
1,151,1.0,1.0,0,1,0,1,1
2,151,1.0,1.0,1,1,0,1,1
5,151,1.0,1.0,0,0,0,1,0
6,151,1.0,1.0,1,1,0,1,1
1,152,1.0,1.0,1,0,1,1,1
2,152,1.0,1.0,1,0,1,1,1
5,152,0.0,0.0,0,0,1,0,1
6,152,1.0,1.0,1,0,1,1,1
1,153,0.0,0.0,0,1,1,1,1
2,153,0.0,0.0,0,1,1,1,1
5,153,1.0,1.0,0,1,0,1,1
6,153,1.0,1.0,0,1,1,1,1
1,154,0.0,0.0,1,1,1,1,1
2,154,1.0,1.0,1,1,1,1,1
5,154,0.0,0.0,1,0,1,1,0
6,154,1.0,1.0,1,1,1,1,1
1,155,1.0,1.0,1,1,1,1,0
2,155,0.0,0.0,1,1,1,1,0
5,155,0.0,0.0,0,1,1,0,1
6,155,1.0,1.0,1,1,1,1,1
1,156,0.0,0.0,1,1,1,0,0
2,156,1.0,1.0,1,1,1,0,1
5,156,1.0,1.0,1,1,0,1,0
6,156,1.0,1.0,1,1,1,1,1
1,157,0.0,0.0,1,1,0,0,1
2,157,1.0,1.0,1,1,0,1,0
5,157,0.0,0.0,1,0,1,0,0
6,157,1.0,1.0,1,1,1,1,1
1,158,0.0,0.0,1,0,0,1,0
2,158,1.0,1.0,1,0,1,0,1
5,158,1.0,1.0,0,1,0,0,1
6,158,1.0,1.0,1,1,1,1,1
1,159,0.0,0.0,0,0,1,0,0
2,159,1.0,1.0,0,1,0,1,1
5,159,1.0,1.0,1,0,0,1,0
6,159,1.0,1.0,1,1,1,1,1
1,160,1.0,1.0,0,1,0,0,0
2,160,1.0,1.0,1,0,1,1,1
