spatial id,temporal id,Target (normal),Normal target,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
4,45,0.0,0.0,0,0,0,0,0,0,0
5,45,1.0,1.0,0,1,1,1,0,0,0
6,45,1.0,1.0,0,1,1,1,0,1,1
7,45,0.0,0.0,0,0,0,0,0,0,0
8,45,0.0,0.0,0,0,0,0,0,0,0
9,45,0.0,0.0,0,0,0,1,0,0,0
1,46,1.0,1.0,0,0,1,0,0,1,1
2,46,0.0,0.0,0,0,1,0,0,0,0
3,46,0.0,0.0,0,1,0,0,0,0,1
4,46,0.0,0.0,0,0,0,0,0,0,0
5,46,1.0,1.0,1,1,1,0,0,0,0
6,46,0.0,0.0,1,1,1,0,1,1,1
7,46,1.0,1.0,0,0,0,0,0,0,0
8,46,0.0,0.0,0,0,0,0,0,0,0
9,46,1.0,1.0,0,0,1,0,0,0,0
1,47,1.0,1.0,0,1,0,0,1,1,0
2,47,0.0,0.0,0,1,0,0,0,0,0
3,47,0.0,0.0,1,0,0,0,0,1,0
4,47,0.0,0.0,0,0,0,0,0,0,0
5,47,0.0,0.0,1,1,0,0,0,0,0
6,47,1.0,1.0,1,1,0,1,1,1,1
7,47,0.0,0.0,0,0,0,0,0,0,0
8,47,0.0,0.0,0,0,0,0,0,0,0
9,47,0.0,0.0,0,1,0,0,0,0,0
1,48,0.0,0.0,1,0,0,1,1,0,1
2,48,1.0,1.0,1,0,0,0,0,0,0
3,48,0.0,0.0,0,0,0,0,1,0,0
4,48,0.0,0.0,0,0,0,0,0,0,0
5,48,0.0,0.0,1,0,0,0,0,0,1
6,48,1.0,1.0,1,0,1,1,1,1,0
7,48,0.0,0.0,0,0,0,0,0,0,0
8,48,0.0,0.0,0,0,0,0,0,0,0
9,48,0.0,0.0,1,0,0,0,0,0,0
1,49,0.0,0.0,0,0,1,1,0,1,1
2,49,0.0,0.0,0,0,0,0,0,0,0
3,49,0.0,0.0,0,0,0,1,0,0,0
4,49,0.0,0.0,0,0,0,0,0,0,0
5,49,0.0,0.0,0,0,0,0,0,1,0
6,49,1.0,1.0,0,1,1,1,1,0,0
7,49,0.0,0.0,0,0,0,0,0,0,0
8,49,0.0,0.0,0,0,0,0,0,0,0
9,49,0.0,0.0,0,0,0,0,0,0,0
1,50,0.0,0.0,0,1,1,0,1,1,1
2,50,1.0,1.0,0,0,0,0,0,0,0
3,50,0.0,0.0,0,0,1,0,0,0,0
4,50,0.0,0.0,0,0,0,0,0,0,0
5,50,0.0,0.0,0,0,0,0,1,0,1
6,50,1.0,1.0,1,1,1,1,0,0,0
7,50,0.0,0.0,0,0,0,0,0,0,0
8,50,0.0,0.0,0,0,0,0,0,0,0
9,50,0.0,0.0,0,0,0,0,0,0,0
1,51,1.0,1.0,1,1,0,1,1,1,0
2,51,0.0,0.0,0,0,0,0,0,0,0
3,51,0.0,0.0,0,1,0,0,0,0,0
4,51,0.0,0.0,0,0,0,0,0,0,0
5,51,0.0,0.0,0,0,0,1,0,1,0
6,51,1.0,1.0,1,1,1,0,0,0,0
7,51,0.0,0.0,0,0,0,0,0,0,0
8,51,0.0,0.0,0,0,0,0,0,0,1
9,51,0.0,0.0,0,0,0,0,0,0,0
1,52,1.0,1.0,1,0,1,1,1,0,0
2,52,0.0,0.0,0,0,0,0,0,0,0
3,52,0.0,0.0,1,0,0,0,0,0,0
4,52,0.0,0.0,0,0,0,0,0,0,0
5,52,0.0,0.0,0,0,1,0,1,0,0
6,52,1.0,1.0,1,1,0,0,0,0,0
7,52,0.0,0.0,0,0,0,0,0,0,0
8,52,0.0,0.0,0,0,0,0,0,1,0
9,52,0.0,0.0,0,0,0,0,0,0,0
1,53,1.0,1.0,0,1,1,1,0,0,0
2,53,1.0,1.0,0,0,0,0,0,0,0
3,53,0.0,0.0,0,0,0,0,0,0,0
4,53,0.0,0.0,0,0,0,0,0,0,0
5,53,0.0,0.0,0,1,0,1,0,0,0
6,53,1.0,1.0,1,0,0,0,0,0,1
7,53,0.0,0.0,0,0,0,0,0,0,0
8,53,0.0,0.0,0,0,0,0,1,0,0
9,53,0.0,0.0,0,0,0,0,0,0,0
1,54,1.0,1.0,1,1,1,0,0,0,1
2,54,1.0,1.0,0,0,0,0,0,0,0
3,54,0.0,0.0,0,0,0,0,0,0,0
4,54,0.0,0.0,0,0,0,0,0,0,0
5,54,0.0,0.0,1,0,1,0,0,0,1
6,54,0.0,0.0,0,0,0,0,0,1,1
7,54,0.0,0.0,0,0,0,0,0,0,0
8,54,0.0,0.0,0,0,0,1,0,0,0
9,54,0.0,0.0,0,0,0,0,0,0,0
1,55,1.0,1.0,1,1,0,0,0,1,0
2,55,1.0,1.0,0,0,0,0,0,0,0
